fischer2 p33-6 hf8 fcx6
Ch0:; 4439164; 6123800
Ch1:; 4436158; 5315160
Ch2:; 4407620; 5356954
Ch3:; 4410351; 5013089
Ch4:;    1407;   64702
Ch5:;  253656; 2145921
Ch6:;  279531;  547820
Ch7:;  278924;  501061
Ch8:;  277936; 1083735
V:;    1864
Ch0:; 4439580; 5969071
Ch1:; 4433475; 5333179
Ch2:; 4405189; 5308516
Ch3:; 4409068; 5007253
Ch4:;     404;   61286
Ch5:;  254630; 2312615
Ch6:;  287950;  541888
Ch7:;  287787;  490894
Ch8:;  287881; 1039438
V:;    2012
Ch0:; 4438968; 6104698
Ch1:; 4438935; 5324099
Ch2:; 4408269; 5363269
Ch3:; 4394611; 5022332
Ch4:;     500;   67531
Ch5:;  255373; 2691778
Ch6:;  279279;  561844
Ch7:;  278622;  501002
Ch8:;  278801; 1113373
V:;    1701
Ch0:; 4437024; 5952455
Ch1:; 4432587; 5280436
Ch2:; 4407027; 5290052
Ch3:; 4404117; 5017149
Ch4:;     103;   64662
Ch5:;  255986; 2741408
Ch6:;  286915;  569884
Ch7:;  285891;  476819
Ch8:;  286803; 1075494
V:;    1607
Ch0:; 4438067; 5963885
Ch1:; 4427305; 5277435
Ch2:; 4411668; 5304203
Ch3:; 4409995; 5049183
Ch4:;    1154;   64653
Ch5:;  256517; 2956298
Ch6:;  279635;  531810
Ch7:;  278872;  468124
Ch8:;  278797;  952876
V:;    1416
Ch0:; 4439831; 6039030
Ch1:; 4433429; 5346149
Ch2:; 4405759; 5325777
Ch3:; 4399824; 5014642
Ch4:;     207;   65211
Ch5:;  257371; 3303199
Ch6:;  284411;  566663
Ch7:;  284153;  483975
Ch8:;  283925; 1108104
V:;    1950
Ch0:; 4439335; 6060890
Ch1:; 4439177; 5308678
Ch2:; 4413969; 5265513
Ch3:; 4406326; 5035892
Ch4:;     170;   65565
Ch5:;  257061; 3400620
Ch6:;  279381;  541487
Ch7:;  278683;  492368
Ch8:;  278549; 1022581
V:;    1600
Ch0:; 4439199; 6029507
Ch1:; 4442088; 5333680
Ch2:; 4410206; 5380228
Ch3:; 4411955; 5053854
Ch4:;     209;   62259
Ch5:;  258739; 3595058
Ch6:;  281531;  573944
Ch7:;  281379;  484278
Ch8:;  280447; 1136734
V:;    1628
Ch0:; 4440329; 5989623
Ch1:; 4441341; 5291400
Ch2:; 4407845; 5307571
Ch3:; 4411083; 5035922
Ch4:;      90;   66216
Ch5:;  258044; 3882498
Ch6:;  279153;  516816
Ch7:;  278702;  478633
Ch8:;  278334;  919364
V:;    1527
Ch0:; 4439143; 6015932
Ch1:; 4428906; 5356698
Ch2:; 4409861; 5338481
Ch3:; 4406158; 5048756
Ch4:;     102;   69602
Ch5:;  257649; 4217392
Ch6:;  279360;  566629
Ch7:;  278533;  486882
Ch8:;  278516; 1117304
V:;    1816
