,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
0,1094098.0,3150596.0,496051.0,2496557.0,913499.0,1604524.0,425239.0,865356.0
1,1094522.0,3129950.0,492057.0,2499484.0,904868.0,1596938.0,425205.0,865219.0
2,1093385.0,3147507.0,509332.0,2513388.0,906727.0,1584639.0,425068.0,865130.0
3,1094674.0,3136242.0,508547.0,2531006.0,915864.0,1601576.0,425067.0,865248.0
4,1094884.0,3122122.0,517828.0,2523172.0,904585.0,1583731.0,425066.0,866215.0
5,1093975.0,3147545.0,504967.0,2507706.0,906249.0,1591844.0,424930.0,864971.0
6,1094296.0,3151588.0,520352.0,2537135.0,914089.0,1598558.0,425356.0,865423.0
7,1093994.0,3123363.0,495492.0,2466923.0,906426.0,1581183.0,425183.0,866001.0
8,1093955.0,3174942.0,564987.0,2560977.0,914705.0,1599108.0,424810.0,864909.0
9,1094410.0,3147208.0,488145.0,2484865.0,902215.0,1589321.0,424515.0,865344.0
10,1092621.0,3114766.0,512290.0,2536017.0,912929.0,1596975.0,425163.0,865282.0
11,1093051.0,3149906.0,515825.0,2508421.0,912499.0,1598124.0,424832.0,865769.0
12,1094346.0,3119880.0,531218.0,2548005.0,911509.0,1597019.0,425218.0,865478.0
13,1093634.0,3123791.0,509831.0,2518278.0,905013.0,1593768.0,425855.0,866829.0
14,1093448.0,3142252.0,498684.0,2470262.0,900129.0,1578433.0,424545.0,865253.0
15,1094169.0,3171610.0,540147.0,2589516.0,903516.0,1590063.0,425792.0,863951.0
16,1093474.0,3152070.0,524304.0,2553732.0,906201.0,1593094.0,425258.0,865589.0
17,1093926.0,3144515.0,515368.0,2525131.0,901762.0,1581797.0,424584.0,864534.0
18,1094838.0,3134501.0,499738.0,2516608.0,899530.0,1586672.0,425307.0,865279.0
19,1094429.0,3133296.0,504587.0,2524196.0,911606.0,1596517.0,425208.0,864783.0
20,1094126.0,3145877.0,518425.0,2529918.0,907514.0,1591549.0,424857.0,864980.0
21,1094619.0,3123224.0,511217.0,2534218.0,902900.0,1584177.0,425206.0,865207.0
